,direccion_territorial,area_protegida,mes,adultos_nacionales_2011,ninos_y_estudiantes_2011,extranjeros_2011,extranjeros_residentes_2011,ninos_residentes_2011,adultos_residentes_2011,ninos_excentos_no_residentes_2011,adultos_excentos_no_residentes_2011,adultos_nacionales_2012,ninos_y_estudiantes_2012,extranjeros_2012,extranjeros_residentes_2012,ninos_residentes_2012,adultos_residentes_2012,ninos_excentos_no_residentes_2012,adultos_excentos_no_residentes_2012,adultos_nacionales_2013,ninos_y_estudiantes_2013,extranjeros_2013,extranjeros_residentes_2013,ninos_residentes_2013,adultos_residentes_2013,ninos_excentos_no_residentes_2013,adultos_excentos_no_residentes_2013,adultos_nacionales_2014,ninos_y_estudiantes_2014,extranjeros_2014,extranjeros_residentes_2014,ninos_residentes_2014,adultos_residentes_2014,ninos_excentos_no_residentes_2014,adultos_excentos_no_residentes_2014,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
154,  ORINOQUIA,TUPARRO,4,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
156,  ORINOQUIA,SUMAPAZ,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
157, ANDES OCCIDENTALES,COROTA,5,4,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,1,0,0,0,2,1,3,3,3,3,3,0
158, ANDES NORORIENTALES,ESTORAQUES,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
159, PACIFICO,UTRIA,11,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
160, ANDES OCCIDENTALES,LOS NEVADOS,12,3,3,2,1,0,0,0,1,1,0,0,0,0,0,0,0,4,3,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,3,1,4,0
161, CARIBE,TAYRONA,10,5,4,4,1,0,0,4,2,5,4,4,1,0,0,3,3,5,4,4,1,0,0,0,4,0,0,0,0,0,0,0,0,5,5,5,5,5,0
163,  ORINOQUIA,SUMAPAZ,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
164, ANDES NORORIENTALES,IGUAQUE,6,2,2,1,1,0,0,0,0,2,2,1,1,1,1,1,1,2,2,1,0,0,0,0,1,2,2,1,1,0,0,1,1,2,2,2,2,2,0
165, CARIBE,MACUIRA,8,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,2,2,0
168, PACIFICO,UTRIA,5,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,0,2,2,1,1,2,0
169, PACIFICO,UTRIA,1,2,1,1,1,0,0,0,0,2,1,1,0,0,1,0,1,2,1,1,1,0,0,0,1,2,2,1,0,0,1,0,1,2,2,2,2,2,2
171, ANDES NORORIENTALES,COCUY,6,1,2,1,1,0,1,0,0,2,2,1,1,0,1,0,0,2,2,1,1,0,2,1,0,3,2,1,1,0,2,0,1,2,2,2,3,3,0
173, CARIBE,SALAMANCA,2,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,2,0,1,2,1,2
174,  ORINOQUIA,TUPARRO,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
175, CARIBE,COLORADOS,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,2,0
176, AMAZONIA,AMACAYACU,11,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0
180,  ORINOQUIA,SUMAPAZ,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182, CARIBE,SIERRA NEVADA DE SANTA MARTA,10,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,1,1,0
185, ANDES OCCIDENTALES,OTUN QUIMBAYA,11,1,0,1,0,0,0,0,2,1,1,1,0,0,0,0,1,1,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,2,2,3,0
187,  ORINOQUIA,CHINGAZA,10,2,1,1,0,0,1,0,2,3,1,1,1,1,1,2,1,2,3,1,1,1,1,1,2,0,0,0,0,0,0,0,0,3,3,3,3,3,0
188, CARIBE,MACUIRA,2,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,2,2,2,2
189, CARIBE,CORALES ROSARIO,7,5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,5,5,5,0
190, ANDES OCCIDENTALES,LOS NEVADOS,6,4,4,2,1,0,0,0,2,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,1,4,4,1,0,0,0,1,2,4,4,4,0,4,0
193, CARIBE,SALAMANCA,3,1,0,1,0,0,0,0,0,2,1,1,1,1,1,0,0,1,1,1,0,0,0,1,1,1,2,1,1,0,0,1,1,2,0,1,2,2,2
196, ANDES NORORIENTALES,ESTORAQUES,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
197, ANDES NORORIENTALES,ESTORAQUES,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
200, ANDES NORORIENTALES,COCUY,4,2,2,1,1,0,1,0,0,3,2,1,1,0,2,0,0,1,2,1,1,0,1,0,0,4,3,1,1,2,0,1,1,3,3,3,3,2,4
201, ANDES NORORIENTALES,PISBA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
202, PACIFICO,GORGONA,10,2,2,1,1,0,1,1,1,2,1,1,0,0,0,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3,3,3,2,2,0
204, CARIBE,COLORADOS,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0
205, CARIBE,MACUIRA,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
207, CARIBE,FLAMENCOS,8,2,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,2,2,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,1,2,2,3,0
208, CARIBE,COLORADOS,12,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0
209, ANDES NORORIENTALES,PISBA,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
214, ANDES NORORIENTALES,COCUY,9,1,1,1,0,0,1,0,0,1,2,1,1,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0
215, ANDES NORORIENTALES,GUANENTA FONCE,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
216, CARIBE,SIERRA NEVADA DE SANTA MARTA,11,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0
217, ANDES OCCIDENTALES,COROTA,1,4,0,1,0,0,0,0,0,5,0,2,0,0,0,0,0,5,0,2,0,0,0,0,0,5,0,2,0,0,0,0,0,4,4,3,4,4,4
218, CARIBE,SIERRA NEVADA DE SANTA MARTA,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1
219, CARIBE,TAYRONA,1,5,5,5,0,0,0,4,3,5,5,5,1,0,0,4,4,5,5,5,1,0,0,4,0,5,5,5,1,0,0,0,4,5,5,5,5,5,5
221, AMAZONIA,AMACAYACU,4,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0
222, CARIBE,OLD PROVIDENCE,12,3,1,1,0,1,1,1,2,3,1,2,0,1,2,1,2,2,3,2,0,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,3,0
224, ANDES OCCIDENTALES,GUACHAROS,10,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,2,0
225, PACIFICO,UTRIA,8,2,1,1,1,0,0,0,0,2,1,1,0,0,0,0,0,2,1,2,0,0,0,1,0,2,2,1,0,0,0,0,1,0,0,2,2,3,0
230, CARIBE,SALAMANCA,6,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,1,0,1,0,2,0,1,2,2,0
231, ANDES OCCIDENTALES,COROTA,3,4,0,2,0,0,0,0,1,4,0,1,0,0,0,0,0,4,0,2,0,0,0,1,0,4,2,0,0,0,0,0,1,3,3,3,3,4,3
232, AMAZONIA,AMACAYACU,3,3,1,2,0,0,0,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0
234,  ORINOQUIA,TUPARRO,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
236, ANDES NORORIENTALES,TAMA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
237, ANDES OCCIDENTALES,COROTA,8,4,0,2,0,0,0,0,1,4,0,2,0,0,0,0,0,3,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,4,4,4,4,3,0
238, ANDES OCCIDENTALES,GALERAS,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
239, CARIBE,TAYRONA,7,5,4,4,1,0,0,4,3,5,5,4,1,0,0,4,3,5,4,5,0,0,0,4,1,5,4,5,2,0,0,3,3,5,5,5,5,5,0
241, CARIBE,CORALES ROSARIO,6,5,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,5,5,5,0
245,  ORINOQUIA,TUPARRO,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
246, ANDES NORORIENTALES,COCUY,11,1,1,1,1,0,1,0,1,2,2,1,1,0,1,0,0,2,2,2,1,0,1,0,2,0,0,0,0,0,0,0,0,2,2,2,2,3,0
248, ANDES OCCIDENTALES,PURACE,5,2,1,1,1,1,1,0,0,1,0,1,0,0,0,0,0,1,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0
250, ANDES NORORIENTALES,ESTORAQUES,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
251, ANDES OCCIDENTALES,OTUN QUIMBAYA,8,2,1,1,0,0,0,0,2,1,1,1,0,0,0,1,1,1,0,1,0,0,0,1,2,1,1,1,0,0,0,1,2,0,2,2,2,2,0
252, PACIFICO,MALPELO,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0
255, ANDES NORORIENTALES,GUANENTA FONCE,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
256, CARIBE,SALAMANCA,11,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,2,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,0,2,0,0,2,2,0
257, CARIBE,OLD PROVIDENCE,6,2,1,1,0,1,1,1,1,2,1,1,0,1,2,1,1,2,1,1,0,1,1,1,1,2,3,2,0,1,1,1,2,3,3,3,3,3,0
259, ANDES OCCIDENTALES,LOS NEVADOS,11,4,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,2,0,0,0,0,0,0,0,0,4,3,4,0,3,0
260, PACIFICO,MALPELO,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,1,2,1,1,1
262, CARIBE,FLAMENCOS,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,4,3,1,0,0,0,0,0,2,1,3,1,2,4
264, ANDES NORORIENTALES,IGUAQUE,1,2,2,1,0,0,0,0,1,2,2,1,1,1,1,1,1,2,2,1,1,0,0,0,2,3,2,1,1,0,1,1,1,3,3,3,3,3,3
270, PACIFICO,GORGONA,3,2,2,1,1,0,0,0,1,1,1,1,0,0,1,0,0,2,1,1,0,0,0,0,1,1,1,1,0,0,1,0,1,2,2,2,2,2,2
271, PACIFICO,GORGONA,5,2,2,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,2,1,0,0,0,0,2,1,1,1,1,0,1,0,0,2,2,2,2,2,0
272, CARIBE,CORALES ROSARIO,10,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0
274, ANDES OCCIDENTALES,GALERAS,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0
275, PACIFICO,MALPELO,6,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,2,1,1,0
276, PACIFICO,GORGONA,2,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,2,2,2,2,2,2
277, ANDES NORORIENTALES,IGUAQUE,11,1,2,1,1,0,0,0,0,2,2,1,0,0,0,0,0,2,2,1,0,0,1,1,1,0,0,0,0,0,0,0,0,3,3,2,3,3,0
278, CARIBE,MACUIRA,12,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0
282,  ORINOQUIA,SUMAPAZ,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283, ANDES NORORIENTALES,PISBA,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
284, PACIFICO,UTRIA,3,1,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,2,1,1,0,1,1,0,1,1,1,1,0,0,0,0,0,2,2,2,2,2,2
287, ANDES NORORIENTALES,PISBA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
291, ANDES OCCIDENTALES,LOS NEVADOS,9,4,3,2,1,0,0,0,2,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,4,4,4,0,3,0
296, ANDES OCCIDENTALES,OTUN QUIMBAYA,7,1,1,1,0,0,0,0,1,1,2,1,0,0,0,1,1,1,1,1,0,0,0,0,2,1,1,1,0,2,2,0,0,0,2,2,2,2,0
301, CARIBE,SALAMANCA,7,1,0,1,0,0,0,0,0,2,2,1,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,2,0,1,2,2,0
304, PACIFICO,GORGONA,12,1,2,1,0,0,0,0,1,2,1,1,1,0,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0
307, ANDES OCCIDENTALES,PURACE,4,2,1,1,1,1,1,0,0,2,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,2,2,0
309, ANDES NORORIENTALES,COCUY,7,2,2,1,1,0,1,1,0,2,2,1,1,0,1,0,0,2,2,1,1,0,1,0,0,2,2,1,1,0,2,0,0,2,2,2,3,3,0
310, CARIBE,SALAMANCA,5,0,1,0,0,0,0,2,0,1,2,0,0,0,0,0,2,1,1,1,1,0,0,0,2,1,0,1,0,1,0,1,2,2,1,2,2,2,0
314, CARIBE,SIERRA NEVADA DE SANTA MARTA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
319, CARIBE,OLD PROVIDENCE,3,2,1,2,0,1,1,1,1,2,1,2,0,1,1,1,2,2,1,2,0,0,0,0,0,3,1,2,0,1,2,1,2,3,3,3,3,3,3
322, AMAZONIA,AMACAYACU,9,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0
327, AMAZONIA,AMACAYACU,10,3,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,0,0,0
328, CARIBE,OLD PROVIDENCE,11,2,1,1,0,1,1,1,1,2,1,1,0,0,1,1,2,1,2,1,0,1,1,1,1,0,0,0,0,0,0,0,0,3,2,3,3,3,0
329, CARIBE,SALAMANCA,4,1,1,1,0,0,0,0,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,2,2,0,2,2,2,2
330, CARIBE,SIERRA NEVADA DE SANTA MARTA,2,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,2,1
331, CARIBE,FLAMENCOS,1,2,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,3,1,0,0,0,0,0,0,2,2,1,0,0,0,0,0,2,2,2,1,3,3
333, ANDES NORORIENTALES,ESTORAQUES,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
335,  ORINOQUIA,SUMAPAZ,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336, ANDES OCCIDENTALES,LOS NEVADOS,8,4,4,2,1,0,0,0,2,0,0,0,0,0,0,0,0,3,2,2,0,0,0,0,1,4,4,2,0,0,0,1,2,4,4,4,0,3,0
337, ANDES NORORIENTALES,TAMA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339, ANDES NORORIENTALES,IGUAQUE,12,2,2,1,1,0,0,0,0,2,2,1,1,0,1,0,1,2,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,2,2,2,3,3,0
341, CARIBE,OLD PROVIDENCE,8,1,2,2,0,1,1,1,2,3,1,2,0,1,1,1,2,3,1,2,0,1,1,1,2,3,1,2,0,2,2,1,1,3,3,3,3,3,0
342,  ORINOQUIA,SUMAPAZ,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
343, CARIBE,MACUIRA,3,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,2,1
346, CARIBE,COLORADOS,4,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,1
347, CARIBE,CORALES ROSARIO,1,5,1,1,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,5,5,5,5,5
349, ANDES OCCIDENTALES,COROTA,12,4,0,2,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,3,4,4,0
352, ANDES OCCIDENTALES,PURACE,7,1,1,1,1,1,1,0,0,2,0,1,1,0,1,0,1,1,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,2,2,2,3,2,0
354, CARIBE,OLD PROVIDENCE,9,2,1,1,0,1,1,1,2,2,1,2,0,1,1,1,1,1,2,1,0,1,1,1,2,0,0,0,0,0,0,0,0,3,3,3,3,3,0
357, CARIBE,SALAMANCA,10,1,0,1,0,0,0,0,2,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,2,2,2,0
358, ANDES NORORIENTALES,PISBA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362, ANDES OCCIDENTALES,GUACHAROS,9,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,1,1,0
368, ANDES OCCIDENTALES,GUACHAROS,3,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,2,2,2,2
369, PACIFICO,UTRIA,7,2,1,1,1,0,0,0,1,2,1,1,0,0,0,0,1,2,1,1,0,0,1,0,1,2,2,1,0,1,0,0,1,0,0,2,2,2,0
371, CARIBE,TAYRONA,9,5,4,4,1,0,0,3,2,5,4,4,1,0,0,2,2,5,4,4,1,2,2,1,1,0,0,0,0,0,0,0,0,4,4,4,4,4,0
373, ANDES OCCIDENTALES,GALERAS,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
374,  ORINOQUIA,SUMAPAZ,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
377, ANDES NORORIENTALES,IGUAQUE,3,1,2,1,1,0,0,0,0,2,2,1,1,0,1,0,1,2,2,1,1,0,0,1,1,2,2,1,0,0,1,0,1,2,2,2,2,3,3
378, ANDES NORORIENTALES,COCUY,10,2,2,1,1,0,1,0,1,1,2,1,1,0,1,0,0,2,2,1,1,0,1,0,1,0,0,0,0,0,0,0,0,2,2,2,2,3,0
381, ANDES NORORIENTALES,GUANENTA FONCE,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
383,  ORINOQUIA,TUPARRO,7,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
384, ANDES OCCIDENTALES,OTUN QUIMBAYA,4,1,0,1,0,0,0,0,1,1,2,1,0,0,0,0,1,1,1,1,0,0,0,0,1,2,2,1,0,0,0,1,1,1,2,2,2,2,2
385, ANDES OCCIDENTALES,COROTA,7,4,0,2,0,0,0,1,0,4,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,4,0,2,0,0,0,0,0,3,4,4,4,4,0
388, CARIBE,SIERRA NEVADA DE SANTA MARTA,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0
394, CARIBE,CORALES ROSARIO,12,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,0
401, PACIFICO,GORGONA,8,2,1,1,0,0,1,0,1,2,1,1,1,0,1,0,1,2,1,1,1,0,0,2,0,2,1,1,1,0,1,1,1,3,3,2,2,3,0
403,  ORINOQUIA,CHINGAZA,1,3,0,0,0,0,0,0,0,3,2,1,1,1,2,1,2,3,2,1,1,1,2,1,1,3,2,1,1,1,2,1,1,3,2,3,3,3,3
408, ANDES OCCIDENTALES,COROTA,11,4,0,2,0,0,0,1,0,4,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,4,4,0
414, PACIFICO,GORGONA,9,2,2,1,0,0,1,1,0,2,1,1,0,0,1,0,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3,3,2,2,0
417,  ORINOQUIA,SUMAPAZ,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
427,  ORINOQUIA,CHINGAZA,11,3,2,1,1,0,1,1,2,2,2,1,1,0,0,2,1,2,2,1,1,1,2,1,2,0,0,0,0,0,0,0,0,3,3,3,3,3,0
428, ANDES NORORIENTALES,COCUY,2,1,1,1,0,0,0,0,1,2,2,1,1,0,1,0,0,1,1,2,1,0,2,0,0,2,2,2,1,0,2,0,1,2,2,2,2,2,3
429, ANDES NORORIENTALES,PISBA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
431, CARIBE,OLD PROVIDENCE,10,2,1,1,0,1,1,1,2,2,1,1,0,1,1,1,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,3,3,2,3,3,0
432, CARIBE,SALAMANCA,1,0,0,1,0,0,0,0,0,2,1,1,1,0,0,0,1,1,1,1,1,0,0,0,1,2,2,1,1,0,0,0,1,1,0,1,2,2,2
436, AMAZONIA,AMACAYACU,2,2,2,2,0,0,0,0,1,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,0,0
441, ANDES OCCIDENTALES,OTUN QUIMBAYA,3,2,0,1,0,0,0,0,2,1,1,1,0,0,0,1,1,2,1,1,0,0,0,0,0,2,1,1,0,0,0,1,1,2,2,2,2,2,2
444, CARIBE,OLD PROVIDENCE,1,1,3,2,0,1,2,1,2,1,2,2,0,1,1,1,2,3,1,2,0,1,2,1,2,1,0,3,0,1,4,2,1,3,3,3,3,3,4
447, ANDES NORORIENTALES,PISBA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
449, CARIBE,FLAMENCOS,3,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,1,1,0,0,0,0,0,2,1,2,1,3,2
