;class;family;key;kingdom;month;order;phylum;scientificname;taxonkey;year;direccion_territorial
102;BRYOPSIDA;METEORIACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;PILOTRICHELLA FLEXILIS A…NGSTRA¶M, 1876;2677818;2001; ANDES NORORIENTALES
103;BRYOPSIDA;METEORIACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;PILOTRICHELLA FLEXILIS A…NGSTRA¶M, 1876;2677818;2001; ANDES NORORIENTALES
104;BRYOPSIDA;BARTRAMIACEAE;IGUAQUE;PLANTAE;6;BRYALES;BRYOPHYTA;PHILONOTIS ELONGATA H.CRUM & STEERE, 1956;2676075;2001; ANDES NORORIENTALES
105;BRYOPSIDA;BARTRAMIACEAE;IGUAQUE;PLANTAE;6;BRYALES;BRYOPHYTA;PHILONOTIS UNCINATA BRIDEL, 1827;2676140;2001; ANDES NORORIENTALES
106;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;10;ASTERALES;TRACHEOPHYTA;PENTACALIA GUADALUPE (CUATREC.) CUATREC.;3111552;1998; ANDES NORORIENTALES
107;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;4;ASTERALES;TRACHEOPHYTA;PENTACALIA CORYMBOSA (BENTH.) CUATREC.;3111468;2000; ANDES NORORIENTALES
108;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;6;ASTERALES;TRACHEOPHYTA;PENTACALIA CORYMBOSA (BENTH.) CUATREC.;3111468;2001; ANDES NORORIENTALES
109;MAGNOLIOPSIDA;ASTERACEAE;IGUAQUE;PLANTAE;6;ASTERALES;TRACHEOPHYTA;PENTACALIA GUADALUPE (CUATREC.) CUATREC.;3111552;2001; ANDES NORORIENTALES
110;MAGNOLIOPSIDA;PIPERACEAE;IGUAQUE;PLANTAE;12;PIPERALES;TRACHEOPHYTA;PEPEROMIA HISPIDULA A.DIETR.;7305892;2002; ANDES NORORIENTALES
111;MAGNOLIOPSIDA;PIPERACEAE;IGUAQUE;PLANTAE;12;PIPERALES;TRACHEOPHYTA;PEPEROMIA RUIZ & PAV.;3086367;2002; ANDES NORORIENTALES
112;MAGNOLIOPSIDA;PASSIFLORACEAE;IGUAQUE;PLANTAE;12;MALPIGHIALES;TRACHEOPHYTA;PASSIFLORA CRISPOLANATA URIBE;3587257;2002; ANDES NORORIENTALES
113;MAGNOLIOPSIDA;PASSIFLORACEAE;IGUAQUE;PLANTAE;6;MALPIGHIALES;TRACHEOPHYTA;PASSIFLORA LANATA POIR.;3586879;2001; ANDES NORORIENTALES
114;MAGNOLIOPSIDA;PASSIFLORACEAE;IGUAQUE;PLANTAE;6;MALPIGHIALES;TRACHEOPHYTA;PASSIFLORA MIXTA L.F.;8368994;2001; ANDES NORORIENTALES
115;BRYOPSIDA;METEORIACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;PAPILLARIA IMPONDEROSA (TAYLOR) BROTH.;7526096;2001; ANDES NORORIENTALES
116;BRYOPSIDA;METEORIACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;PAPILLARIA IMPONDEROSA (TAYLOR) BROTH.;7526096;2001; ANDES NORORIENTALES
117;BRYOPSIDA;METEORIACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;PAPILLARIA NIGRESCENS (SW. EX HEDW.) A.JAEGER;5710963;2001; ANDES NORORIENTALES
118;BRYOPSIDA;METEORIACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;PAPILLARIA PENICILLATA (DOZY & MOLK.) BROTH.;7701399;2001; ANDES NORORIENTALES
119;BRYOPSIDA;METEORIACEAE;IGUAQUE;PLANTAE;6;LEUCODONTALES;BRYOPHYTA;PAPILLARIA PENICILLATA (DOZY & MOLK.) BROTH.;7701399;2001; ANDES NORORIENTALES
120;MAGNOLIOPSIDA;RUBIACEAE;IGUAQUE;PLANTAE;7;GENTIANALES;TRACHEOPHYTA;PALICOUREA AUBL.;2898662;2002; ANDES NORORIENTALES
121;JUNGERMANNIOPSIDA;PALLAVICINIACEAE;IGUAQUE;PLANTAE;12;PALLAVICINIALES;MARCHANTIOPHYTA;PALLAVICINIACEAE;2272;2002; ANDES NORORIENTALES
122;BRYOPSIDA;BRACHYTHECIACEAE;IGUAQUE;PLANTAE;6;HYPNALES;BRYOPHYTA;PALAMOCLADIUM LESKEOIDES BRITTON, 1914;2679728;2001; ANDES NORORIENTALES
123;LILIOPSIDA;ERIOCAULACEAE;IGUAQUE;PLANTAE;12;POALES;TRACHEOPHYTA;PAEPALANTHUS MART.;8424714;2002; ANDES NORORIENTALES
124;MAGNOLIOPSIDA;OXALIDACEAE;IGUAQUE;PLANTAE;6;OXALIDALES;TRACHEOPHYTA;OXALIS MEDICAGINEA KUNTH;3626707;2001; ANDES NORORIENTALES
125;MAGNOLIOPSIDA;OXALIDACEAE;IGUAQUE;PLANTAE;12;OXALIDALES;TRACHEOPHYTA;OXALIS L.;2891642;2002; ANDES NORORIENTALES
126;MAGNOLIOPSIDA;OXALIDACEAE;IGUAQUE;PLANTAE;6;OXALIDALES;TRACHEOPHYTA;OXALIS L.;2891642;2001; ANDES NORORIENTALES
127;MAGNOLIOPSIDA;RUBIACEAE;IGUAQUE;PLANTAE;7;GENTIANALES;TRACHEOPHYTA;PALICOUREA ANGUSTIFOLIA KUNTH;2899281;2002; ANDES NORORIENTALES
128;MAGNOLIOPSIDA;RUBIACEAE;IGUAQUE;PLANTAE;6;GENTIANALES;TRACHEOPHYTA;PALICOUREA DEMISSA STANDL.;2898742;2001; ANDES NORORIENTALES
129;MAGNOLIOPSIDA;RUBIACEAE;IGUAQUE;PLANTAE;6;GENTIANALES;TRACHEOPHYTA;PALICOUREA LINEARIFLORA WERNHAM;2899224;2001; ANDES NORORIENTALES
130;MAGNOLIOPSIDA;RUBIACEAE;IGUAQUE;PLANTAE;6;GENTIANALES;TRACHEOPHYTA;PALICOUREA LINEARIFLORA WERNHAM;2899224;2001; ANDES NORORIENTALES
