,class,family,key,kingdom,locality,month,order,phylum,scientificname,taxonkey,year,direccion_territorial,total_1995,total_1996,total_1997,total_1998,total_1999,total_2000,total_2001,total_2002,total_2003,total_2004,total_2005,total_2006,total_2007,total_2008,total_2009,total_2010,total_2011,total_2012,total_2013,total_2014
37,LILIOPSIDA,SMILACACEAE,IGUAQUE,PLANTAE,IGUAQUE,7.0,LILIALES,TRACHEOPHYTA,SMILAX L.,2740627,2002.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
38,BRYOPSIDA,SEMATOPHYLLACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HYPNALES,BRYOPHYTA,"SEMATOPHYLLUM ERYTHROPODIUM MITTEN, 1869",2680626,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
39,LYCOPODIOPSIDA,SELAGINELLACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,SELAGINELLALES,TRACHEOPHYTA,SELAGINELLACEAE,6724,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
40,BRYOPSIDA,BRYACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,BRYALES,BRYOPHYTA,"SCHIZYMENIUM ANDINUM A.J.SHAW, 1985",2677085,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
41,BRYOPSIDA,BRYACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,BRYALES,BRYOPHYTA,"SCHIZYMENIUM LINDIGII A.J.SHAW, 1985",2677112,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
42,BRYOPSIDA,BRYACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,BRYALES,BRYOPHYTA,"SCHIZYMENIUM GRACILISETUM A.J.SHAW, 1985",2677074,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
43,BRYOPSIDA,BRACHYTHECIACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,HYPNALES,BRYOPHYTA,RHYNCHOSTEGIUM SERRULATUM (HEDW.) A.JAEGER,4279450,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
44,LILIOPSIDA,CYPERACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,POALES,TRACHEOPHYTA,RHYNCHOSPORA ARISTATA BOECKELER,2720632,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
45,LILIOPSIDA,CYPERACEAE,IGUAQUE,PLANTAE,IGUAQUE,6.0,POALES,TRACHEOPHYTA,RHYNCHOSPORA RUIZIANA BOECKELER,2721007,2001.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
46,LILIOPSIDA,CYPERACEAE,IGUAQUE,PLANTAE,IGUAQUE,4.0,POALES,TRACHEOPHYTA,RHYNCHOSPORA VAHL,2701052,2000.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
47,LILIOPSIDA,CYPERACEAE,IGUAQUE,PLANTAE,IGUAQUE,4.0,POALES,TRACHEOPHYTA,RHYNCHOSPORA VAHL,2701052,2000.0, ANDES NORORIENTALES,3985,5113,6488,5957,5083,5992,6828,5160,6716,6524,6195,5078,4246,4696,5263,5235,4654,6742,5469,2608
